"Empresa","FerreMas"
"Importación","2026-02"
"Proveedor","Exportadora Cheng"
"Fecha","2026-03-17"
"Estado","BORRADOR"
"Tasa IVA","15"
"FOB Total","46086.72"
"Seguro","248.31"
"Flete","1895"
"Gastos Generales","2892.58"

"Arancel","Código","Descripción","Cantidad","P. Unitario","FOB","Peso % FOB","Distrib. Gastos","Seguro","Flete","Valor CIF","Fodinfa","Ad Valorem","Base IVA","IVA","Total Gastos","Costo Total","Costo Unitario","Gast %","% Margen","Precio Venta Calculado","PVP Mercado USD","Venta Total Sin IVA","Utilidad Importación","Proyección Ventas","Proyección Utilidad","Venta c/ IVA Mayorista","Incremento PVP","Venta c/ IVA Minorista"
"8302.42.00.00","0001","MANIJA HUECA 96MM LUXUS","60000","0.084","5040","10.94","523.76","27.17","207.31","5274.48","26.37","0","5300.85","795.13","784.61","5824.61","0.097077","15.57","45","0.140762","0.17","8445.72","2621.11","10200","4375.39","0.161876","20","0.194251"
"8302.42.00.00","002","MANIJA PUERTA 60CM / 201 /32MM","1000","2.6","2600","5.64","270.02","14","106.88","2720.88","13.6","0","2734.48","410.17","404.5","3004.5","3.0045","15.56","45","4.356525","5","4356.53","1352.03","5000","1995.5","5.010004","20","6.012005"
"8302.42.00.00","003","MANIJA PUERTA 45CM / 201 /32MM","500","2.3","1150","2.5","119.69","6.21","47.38","1203.59","6.02","0","1209.61","181.44","179.3","1329.3","2.6586","15.59","45","3.85497","5","1927.49","598.19","2500","1170.7","4.433215","20","5.319858"
"8302.42.00.00","004","MANIJA PUERTA 80 CM","1500","2.3","3450","7.49","358.59","18.6","141.94","3610.54","18.05","0","3628.59","544.29","537.18","3987.18","2.65812","15.57","45","3.854274","5","5781.41","1794.23","7500","3512.82","4.432415","20","5.318898"
"8302.10.90.00","005","CORTA FILOS NARANJA","120","4.6","552","1.2","57.45","2.98","22.74","577.72","2.89","0","580.61","87.09","86.06","638.06","5.317167","15.59","45","7.709892","10","925.19","287.13","1200","561.94","8.866376","20","10.639651"
"8302.10.90.00","006","BISAGRA OMEGA 3 X3 SIN RULIMAN","3000","0.36","1080","2.34","112.03","5.81","44.34","1130.15","5.65","0","1135.8","170.37","167.83","1247.83","0.415943","15.54","45","0.603117","1","1809.35","561.52","3000","1752.17","0.693585","20","0.832302"
"8302.10.90.00","007","BISAGRA OMEGA 4X3 CON RULIMAN","3000","0.76","2280","4.95","236.99","12.29","93.8","2386.09","11.93","0","2398.02","359.7","355.01","2635.01","0.878337","15.57","45","1.273589","1.5","3820.77","1185.76","4500","1864.99","1.464627","20","1.757552"
"8302.10.90.00","008","NIVELADOR 19X30","11520","0.069","794.88","1.72","82.35","4.27","32.59","831.74","4.16","0","835.9","125.39","123.37","918.25","0.079709","15.52","45","0.115578","0.5","1331.46","413.21","5760","4841.75","0.132915","20","0.159498"
"8302.10.90.00","009","NIVELADOR 25X50","2880","0.118","339.84","0.74","35.43","1.84","14.02","355.7","1.78","0","357.48","53.62","53.07","392.91","0.136427","15.62","45","0.197819","2","569.72","176.81","5760","5367.09","0.227492","20","0.27299"
"8302.42.00.00","010","BISAGRA MINI RECTA","40000","0.082","3280","7.12","340.88","17.68","134.92","3432.6","17.16","0","3449.76","517.46","510.64","3790.64","0.094766","15.57","45","0.137411","50","5496.44","1705.8","2000000","1996209.36","0.158023","20","0.189628"
"8302.42.00.00","011","MANIJA PUERTA 90 CM CUADRADA NEGRA","200","6.3","1260","2.73","130.7","6.78","51.73","1318.51","6.59","0","1325.1","198.77","195.8","1455.8","7.279","15.54","45","10.55455","15","2110.91","655.11","3000","1544.2","12.137733","20","14.56528"
"8301.30.00.00
","012","SOPORTE PISO MEDIA LUNA","1200","0.3","360","0.78","37.34","1.94","14.78","376.72","1.88","0","378.6","56.79","55.94","415.94","0.346617","15.54","45","0.502595","1","603.11","187.17","1200","784.06","0.577984","20","0.693581"
"8301.40.90.00","013","CERRADURA POMO SIN CILINDRO","10080","1.45","14616","31.71","1518.14","78.74","600.9","15295.64","76.48","0","15372.12","2305.82","2274.26","16890.26","1.675621","15.56","45","2.42965","5","24490.87","7600.61","50400","33509.74","2.794098","20","3.352918"
"3926.90.90.00","014","PATA PLASTICA NEGRA 4 PCS","20000","0.09","1800","3.91","187.19","9.71","74.09","1883.8","9.42","0","1893.22","283.98","280.41","2080.41","0.104021","15.58","45","0.15083","1","3016.6","936.19","20000","17919.59","0.173455","20","0.208146"
"8302.42.00.00","015","BOTON CRISTAL BASE DORADA LUXUS","15000","0.28","4200","9.11","436.15","22.62","172.63","4395.25","21.98","0","4417.23","662.58","653.38","4853.38","0.323559","15.56","45","0.469161","1","7037.42","2184.04","15000","10146.62","0.539535","20","0.647442"
"8302.42.00.00","016","BASE GIRATORIA 3 X3","2000","0.175","350","0.76","36.39","1.89","14.4","366.29","1.83","0","368.12","55.22","54.51","404.51","0.202255","15.57","45","0.29327","1","586.54","182.03","2000","1595.49","0.337261","20","0.404713"
"8302.42.00.00","017","GARRUCHA NYLON 2 PL / 4 PCS","2000","0.147","294","0.64","30.64","1.59","12.13","307.72","1.54","0","309.26","46.39","45.9","339.9","0.16995","15.61","45","0.246428","1","492.86","152.96","2000","1660.1","0.283392","20","0.34007"
"8301.30.00.00
","018","CERRADURA HIGH QUALITY CAJA VERDE","24000","0.11","2640","5.73","274.33","14.23","108.58","2762.81","13.81","0","2776.62","416.49","410.95","3050.95","0.127123","15.57","45","0.184328","1","4423.87","1372.92","24000","20949.05","0.211977","20","0.254372"
"Totales","","","198000","","46086.72","","4788.070000000001","248.35","1895.1599999999999","48230.23","241.14","0","48471.37","7270.699999999999","7172.719999999999","53259.439999999995","","","","","","77226.26","23966.819999999992","2163020","2109760.5600000005","","",""
